ATCCode,Name,ATC_length,upperBound
C05AX04,zinc preparations,7,1464
C05AX05,tribenoside,7,1465
C05B,antivaricose therapy,4,1483
C05BA,heparins or heparinoids for topical use,5,1473
C05BA01,organoheparinoid,7,1468
C05BA02,sodium apolate,7,1469
C05BA03,heparin,7,1470
C05BA04,pentosan polysulfate sodium,7,1471
C05BA51,heparinoid combinations,7,1472
C05BA53,heparin combinations,7,1473
C05BB,sclerosing agents for local injection,5,1480
C05BB01,monoethanolamine oleate,7,1475
C05BB02,polidocanol,7,1476
C05BB03,invert sugar,7,1477
C05BB04,sodium tetradecyl sulfate,7,1478
C05BB05,phenol,7,1479
C05BB56,glucose combinations,7,1480
C05BX,other sclerosing agents,5,1483
C05BX01,calcium dobesilate,7,1482
C05BX51,calcium dobesilate combinations,7,1483
C05C,capillary stabilizing agents,4,1497
C05CA,bioflavonoids,5,1493
C05CA01,rutoside,7,1486
C05CA02,monoxerutin,7,1487
C05CA03,diosmin,7,1488
C05CA04,troxerutin,7,1489
C05CA05,hidrosmin,7,1490
C05CA51,rutoside combinations,7,1491
C05CA53,diosmin combinations,7,1492
C05CA54,troxerutin combinations,7,1493
C05CX,other capillary stabilizing agents,5,1497
C05CX01,tribenoside,7,1495
C05CX02,naftazone,7,1496
C05CX03,hippocastani semen,7,1497
C07,beta blocking agents,3,1579
C07A,beta blocking agents,4,1534
C07AA,beta blocking agents nonselective,5,1515
C07AA01,alprenolol,7,1501
C07AA02,oxprenolol,7,1502
C07AA03,pindolol,7,1503
C07AA05,propranolol,7,1504
C07AA06,timolol,7,1505
C07AA07,sotalol,7,1506
C07AA12,nadolol,7,1507
C07AA14,mepindolol,7,1508
C07AA15,carteolol,7,1509
C07AA16,tertatolol,7,1510
C07AA17,bopindolol,7,1511
C07AA19,bupranolol,7,1512
C07AA23,penbutolol,7,1513
C07AA27,cloranolol,7,1514
C07AA57,sotalol combinations,7,1515
C07AB,beta blocking agents selective,5,1531
C07AB01,practolol,7,1517
C07AB02,metoprolol,7,1518
C07AB03,atenolol,7,1519
C07AB04,acebutolol,7,1520
C07AB05,betaxolol,7,1521
C07AB06,bevantolol,7,1522
C07AB07,bisoprolol,7,1523
C07AB08,celiprolol,7,1524
C07AB09,esmolol,7,1525
C07AB10,epanolol,7,1526
C07AB11,satenolol,7,1527
C07AB12,nebivolol,7,1528
C07AB13,talinolol,7,1529
C07AB52,metoprolol combinations,7,1530
C07AB57,bisoprolol combinations,7,1531
C07AG,alpha and beta blocking agents,5,1534
C07AG01,labetalol,7,1533
C07AG02,carvedilol,7,1534
C07B,beta blocking agents and thiazides,4,1552
C07BA,beta blocking agents nonselective and thiazides,5,1542
C07BA02,oxprenolol and thiazides,7,1537
C07BA05,propranolol and thiazides,7,1538
C07BA06,timolol and thiazides,7,1539
C07BA07,sotalol and thiazides,7,1540
C07BA12,nadolol and thiazides,7,1541
C07BA68,metipranolol and thiazides combinations,7,1542
C07BB,beta blocking agents selective and thiazides,5,1550
C07BB02,metoprolol and thiazides,7,1544
C07BB03,atenolol and thiazides,7,1545
C07BB04,acebutolol and thiazides,7,1546
C07BB06,bevantolol and thiazides,7,1547
C07BB07,bisoprolol and thiazides,7,1548
C07BB12,nebivolol and thiazides,7,1549
C07BB52,metoprolol and thiazides combinations,7,1550
C07BG,alpha and beta blocking agents and thiazides,5,1552
C07BG01,labetalol and thiazides,7,1552
C07C,beta blocking agents and other diuretics,4,1564
C07CA,beta blocking agents nonselective and other diuretics,5,1558
C07CA02,oxprenolol and other diuretics,7,1555
C07CA03,pindolol and other diuretics,7,1556
C07CA17,bopindolol and other diuretics,7,1557
C07CA23,penbutolol and other diuretics,7,1558
C07CB,beta blocking agents selective and other diuretics,5,1562
C07CB02,metoprolol and other diuretics,7,1560
C07CB03,atenolol and other diuretics,7,1561
C07CB53,atenolol and other diuretics combinations,7,1562
C07CG,alpha and beta blocking agents and other diuretics,5,1564
C07CG01,labetalol and other diuretics,7,1564
C07D,beta blocking agents thiazides and other diuretics,4,1569
C07DA,beta blocking agents nonselective thiazides and other diuretics,5,1567
C07DA06,timolol thiazides and other diuretics,7,1567
C07DB,beta blocking agents selective thiazides and other diuretics,5,1569
C07DB01,atenolol thiazides and other diuretics,7,1569
C07E,beta blocking agents and vasodilators,4,1572
C07EA,beta blocking agents nonselective and vasodilators,5,1571
C07EB,beta blocking agents selective and vasodilators,5,1572
C07F,beta blocking agents and other antihypertensives,4,1579
C07FA,beta blocking agents nonselective and other antihypertensives,5,1575
C07FA05,propranolol and other antihypertensives,7,1575
C07FB,beta blocking agents selective and other antihypertensives,5,1579
C07FB02,metoprolol and other antihypertensives,7,1577
C07FB03,atenolol and other antihypertensives,7,1578
C07FB07,bisoprolol and other antihypertensives,7,1579
C08,calcium channel blockers,3,1619
C08C,selective calcium channel blockers with mainly vascular effects,4,1601
C08CA,dihydropyridine derivatives,5,1599
C08CA01,amlodipine,7,1583
C08CA02,felodipine,7,1584
C08CA03,isradipine,7,1585
C08CA04,nicardipine,7,1586
C08CA05,nifedipine,7,1587
C08CA06,nimodipine,7,1588
C08CA07,nisoldipine,7,1589
C08CA08,nitrendipine,7,1590
C08CA09,lacidipine,7,1591
C08CA10,nilvadipine,7,1592
C08CA11,manidipine,7,1593
C08CA12,barnidipine,7,1594
C08CA13,lercanidipine,7,1595
C08CA14,cilnidipine,7,1596
C08CA15,benidipine,7,1597
C08CA16,clevidipine,7,1598
C08CA55,nifedipine combinations,7,1599
C08CX,other selective calcium channel blockers with mainly vascular effects,5,1601
C08CX01,mibefradil,7,1601
C08D,selective calcium channel blockers with direct cardiac effects,4,1608
C08DA,phenylalkylamine derivatives,5,1606
C08DA01,verapamil,7,1604
C08DA02,gallopamil,7,1605
C08DA51,verapamil combinations,7,1606
C08DB,benzothiazepine derivatives,5,1608
C08DB01,diltiazem,7,1608
C08E,nonselective calcium channel blockers,4,1615
C08EA,phenylalkylamine derivatives,5,1612
C08EA01,fendiline,7,1611
C08EA02,bepridil,7,1612
C08EX,other nonselective calcium channel blockers,5,1615
C08EX01,lidoflazine,7,1614
C08EX02,perhexiline,7,1615
C08G,calcium channel blockers and diuretics,4,1619
C08GA,calcium channel blockers and diuretics,5,1619
C08GA01,nifedipine and diuretics,7,1618
C08GA02,amlodipine and diuretics,7,1619
C09,agents acting on the reninangiotensin system,3,1701
C09A,ace inhibitors plain,4,1638
C09AA,ace inhibitors plain,5,1638
C09AA01,captopril,7,1623
C09AA02,enalapril,7,1624
C09AA03,lisinopril,7,1625
C09AA04,perindopril,7,1626
C09AA05,ramipril,7,1627
C09AA06,quinapril,7,1628
C09AA07,benazepril,7,1629
C09AA08,cilazapril,7,1630
C09AA09,fosinopril,7,1631
C09AA10,trandolapril,7,1632
C09AA11,spirapril,7,1633
C09AA12,delapril,7,1634
C09AA13,moexipril,7,1635
C09AA14,temocapril,7,1636
C09AA15,zofenopril,7,1637
C09AA16,imidapril,7,1638
C09B,ace inhibitors combinations,4,1663
C09BA,ace inhibitors and diuretics,5,1652
C09BA01,captopril and diuretics,7,1641
C09BA02,enalapril and diuretics,7,1642
C09BA03,lisinopril and diuretics,7,1643
C09BA04,perindopril and diuretics,7,1644
C09BA05,ramipril and diuretics,7,1645
C09BA06,quinapril and diuretics,7,1646
C09BA07,benazepril and diuretics,7,1647
C09BA08,cilazapril and diuretics,7,1648
C09BA09,fosinopril and diuretics,7,1649
C09BA12,delapril and diuretics,7,1650
C09BA13,moexipril and diuretics,7,1651
C09BA15,zofenopril and diuretics,7,1652
C09BB,ace inhibitors and calcium channel blockers,5,1661
C09BB02,enalapril and lercanidipine,7,1654
C09BB03,lisinopril and amlodipine,7,1655
C09BB04,perindopril and amlodipine,7,1656
C09BB05,ramipril and felodipine,7,1657
C09BB06,enalapril and nitrendipine,7,1658
C09BB07,ramipril and amlodipine,7,1659
C09BB10,trandolapril and verapamil,7,1660
C09BB12,delapril and manidipine,7,1661
C09BX,ace inhibitors other combinations,5,1663
C09BX01,perindopril amlodipine and indapamide,7,1663
C09C,angiotensin ii antagonists plain,4,1674
C09CA,angiotensin ii antagonists plain,5,1674
C09CA01,losartan,7,1666
C09CA02,eprosartan,7,1667
C09CA03,valsartan,7,1668
C09CA04,irbesartan,7,1669
C09CA05,tasosartan,7,1670
C09CA06,candesartan,7,1671
C09CA07,telmisartan,7,1672
C09CA08,olmesartan medoxomil,7,1673
C09CA09,azilsartan medoxomil,7,1674
C09D,angiotensin ii antagonists combinations,4,1694
C09DA,angiotensin ii antagonists and diuretics,5,1683
C09DA01,losartan and diuretics,7,1677
C09DA02,eprosartan and diuretics,7,1678
C09DA03,valsartan and diuretics,7,1679
C09DA04,irbesartan and diuretics,7,1680
C09DA06,candesartan and diuretics,7,1681
C09DA07,telmisartan and diuretics,7,1682
C09DA08,olmesartan medoxomil and diuretics,7,1683
C09DB,angiotensin ii antagonists and calcium channel blockers,5,1690
C09DB01,valsartan and amlodipine,7,1685
C09DB02,olmesartan medoxomil and amlodipine,7,1686
C09DB04,telmisartan and amlodipine,7,1687
C09DB05,irbesartan and amlodipine,7,1688
C09DB06,losartan and amlodipine,7,1689
C09DB07,candesartan and amlodipine,7,1690
C09DX,angiotensin ii antagonists other combinations,5,1694
C09DX01,valsartan amlodipine and hydrochlorothiazide,7,1692
C09DX02,valsartan and aliskiren,7,1693
C09DX03,olmesartan medoxomil amlodipine and hydrochlorothiazide,7,1694
C09X,other agents acting on the reninangiotensin system,4,1701
C09XA,renininhibitors,5,1701
C09XA01,remikiren,7,1697
C09XA02,aliskiren,7,1698
C09XA52,aliskiren and hydrochlorothiazide,7,1699
C09XA53,aliskiren and amlodipine,7,1700
C09XA54,aliskiren amlodipine and hydrochlorothiazide,7,1701
C10,lipid modifying agents,3,1763
C10A,lipid modifying agents plain,4,1749
C10AA,hmg coa reductase inhibitors,5,1712
C10AA01,simvastatin,7,1705
C10AA02,lovastatin,7,1706
C10AA03,pravastatin,7,1707
C10AA04,fluvastatin,7,1708
C10AA05,atorvastatin,7,1709
C10AA06,cerivastatin,7,1710
C10AA07,rosuvastatin,7,1711
C10AA08,pitavastatin,7,1712
C10AB,fibrates,5,1724
C10AB01,clofibrate,7,1714
C10AB02,bezafibrate,7,1715
C10AB03,aluminium clofibrate,7,1716
C10AB04,gemfibrozil,7,1717
C10AB05,fenofibrate,7,1718
C10AB06,simfibrate,7,1719
C10AB07,ronifibrate,7,1720
C10AB08,ciprofibrate,7,1721
C10AB09,etofibrate,7,1722
C10AB10,clofibride,7,1723
C10AB11,choline fenofibrate,7,1724
C10AC,bile acid sequestrants,5,1729
C10AC01,colestyramine,7,1726
C10AC02,colestipol,7,1727
C10AC03,colextran,7,1728
C10AC04,colesevelam,7,1729
C10AD,nicotinic acid and derivatives,5,1737
C10AD01,niceritrol,7,1731
C10AD02,nicotinic acid,7,1732
C10AD03,nicofuranose,7,1733
C10AD04,aluminium nicotinate,7,1734
C10AD05,nicotinyl alcohol pyridylcarbinol,7,1735
C10AD06,acipimox,7,1736
C10AD52,nicotinic acid combinations,7,1737
C10AX,other lipid modifying agents,5,1749
C10AX01,dextrothyroxine,7,1739
C10AX02,probucol,7,1740
C10AX03,tiadenol,7,1741
C10AX05,meglutol,7,1742
C10AX06,omega3triglycerides incl other esters and acids,7,1743
C10AX07,magnesium pyridoxal 5phosphate glutamate,7,1744
C10AX08,policosanol,7,1745
C10AX09,ezetimibe,7,1746
C10AX10,alipogene tiparvovec,7,1747
C10AX11,mipomersen,7,1748
C10AX12,lomitapide,7,1749
C10B,lipid modifying agents combinations,4,1763
C10BA,hmg coa reductase inhibitors in combination with other lipid modifying agents,5,1757
C10BA01,lovastatin and nicotinic acid,7,1752
C10BA02,simvastatin and ezetimibe,7,1753
C10BA03,pravastatin and fenofibrate,7,1754
C10BA04,simvastatin and fenofibrate,7,1755
C10BA05,atorvastatin and ezetimibe,7,1756
C10BA06,rosuvastatin and ezetimibe,7,1757
C10BX,hmg coa reductase inhibitors other combinations,5,1763
C10BX01,simvastatin and acetylsalicylic acid,7,1759
C10BX02,pravastatin and acetylsalicylic acid,7,1760
C10BX03,atorvastatin and amlodipine,7,1761
C10BX04,simvastatin acetylsalicylic acid and ramipril,7,1762
C10BX05,rosuvastatin and acetylsalisylic acid,7,1763
D,dermatologicals,1,2222
D01,antifungals for dermatological use,3,1825
D01A,antifungals for topical use,4,1821
D01AA,antibiotics,5,1775
D01AA01,nystatin,7,1768
D01AA02,natamycin,7,1769
D01AA03,hachimycin,7,1770
D01AA04,pecilocin,7,1771
D01AA06,mepartricin,7,1772
D01AA07,pyrrolnitrin,7,1773
D01AA08,griseofulvin,7,1774
D01AA20,combinations,7,1775
D01AC,imidazole and triazole derivatives,5,1796
D01AC01,clotrimazole,7,1777
D01AC02,miconazole,7,1778
D01AC03,econazole,7,1779
D01AC04,chlormidazole,7,1780
D01AC05,isoconazole,7,1781
D01AC06,tiabendazole,7,1782
D01AC07,tioconazole,7,1783
D01AC08,ketoconazole,7,1784
D01AC09,sulconazole,7,1785
D01AC10,bifonazole,7,1786
D01AC11,oxiconazole,7,1787
D01AC12,fenticonazole,7,1788
D01AC13,omoconazole,7,1789
D01AC14,sertaconazole,7,1790
D01AC15,fluconazole,7,1791
D01AC16,flutrimazole,7,1792
D01AC17,eberconazole,7,1793
D01AC20,combinations,7,1794
D01AC52,miconazole combinations,7,1795
D01AC60,bifonazole combinations,7,1796
D01AE,other antifungals for topical use,5,1821
D01AE01,bromochlorosalicylanilide,7,1798
D01AE02,methylrosaniline,7,1799
D01AE03,tribromometacresol,7,1800
D01AE04,undecylenic acid,7,1801
D01AE05,polynoxylin,7,1802
D01AE06,24chlorphenoxyethanol,7,1803
D01AE07,chlorphenesin,7,1804
D01AE08,ticlatone,7,1805
D01AE09,sulbentine,7,1806
D01AE10,ethyl hydroxybenzoate,7,1807
D01AE11,haloprogin,7,1808
D01AE12,salicylic acid,7,1809
D01AE13,selenium sulfide,7,1810
D01AE14,ciclopirox,7,1811
D01AE15,terbinafine,7,1812
D01AE16,amorolfine,7,1813
D01AE17,dimazole,7,1814
D01AE18,tolnaftate,7,1815
D01AE19,tolciclate,7,1816
D01AE20,combinations,7,1817
D01AE21,flucytosine,7,1818
D01AE22,naftifine,7,1819
D01AE23,butenafine,7,1820
D01AE54,undecylenic acid combinations,7,1821
D01B,antifungals for systemic use,4,1825
D01BA,antifungals for systemic use,5,1825
D01BA01,griseofulvin,7,1824
D01BA02,terbinafine,7,1825
D02,emollients and protectives,3,1843
D02A,emollients and protectives,4,1836
D02AA,silicone products,5,1828
D02AB,zinc products,5,1829
D02AC,soft paraffin and fat products,5,1830
D02AD,liquid plasters,5,1831
D02AE,carbamide products,5,1834
D02AE01,carbamide,7,1833
D02AE51,carbamide combinations,7,1834
D02AF,salicylic acid preparations,5,1835
D02AX,other emollients and protectives,5,1836
D02B,protectives against uvradiation,4,1843
D02BA,protectives against uvradiation for topical use,5,1840
D02BA01,aminobenzoic acid,7,1839
D02BA02,octinoxate,7,1840
D02BB,protectives against uvradiation for systemic use,5,1843
D02BB01,betacarotene,7,1842
D02BB02,afamelanotide,7,1843
D03,preparations for treatment of wounds and ulcers,3,1862
D03A,cicatrizants,4,1856
D03AA,codliver oil ointments,5,1846
D03AX,other cicatrizants,5,1856
D03AX01,cadexomer iodine,7,1848
D03AX02,dextranomer,7,1849
D03AX03,dexpanthenol,7,1850
D03AX04,calcium pantothenate,7,1851
D03AX05,hyaluronic acid,7,1852
D03AX06,becaplermin,7,1853
D03AX09,crilanomer,7,1854
D03AX10,enoxolone,7,1855
D03AX11,sodium chlorite,7,1856
D03B,enzymes,4,1862
D03BA,proteolytic enzymes,5,1862
D03BA01,trypsin,7,1859
D03BA02,collagenase,7,1860
D03BA03,bromelains,7,1861
D03BA52,collagenase combinations,7,1862
D04,antipruritics incl antihistamines anesthetics etc,3,1888
D04A,antipruritics incl antihistamines anesthetics etc,4,1888
D04AA,antihistamines for topical use,5,1879
D04AA01,thonzylamine,7,1866
D04AA02,mepyramine,7,1867
D04AA03,thenalidine,7,1868
D04AA04,tripelennamine,7,1869
D04AA09,chloropyramine,7,1870
D04AA10,promethazine,7,1871
D04AA12,tolpropamine,7,1872
D04AA13,dimetindene,7,1873
D04AA14,clemastine,7,1874
D04AA15,bamipine,7,1875
D04AA22,isothipendyl,7,1876
D04AA32,diphenhydramine,7,1877
D04AA33,diphenhydramine methylbromide,7,1878
D04AA34,chlorphenoxamine,7,1879
D04AB,anesthetics for topical use,5,1887
D04AB01,lidocaine,7,1881
D04AB02,cinchocaine,7,1882
D04AB03,oxybuprocaine,7,1883
D04AB04,benzocaine,7,1884
D04AB05,quinisocaine,7,1885
D04AB06,tetracaine,7,1886
D04AB07,pramocaine,7,1887
D04AX,other antipruritics,5,1888
D05,antipsoriatics,3,1914
D05A,antipsoriatics for topical use,4,1904
D05AA,tars,5,1891
D05AC,antracen derivatives,5,1894
D05AC01,dithranol,7,1893
D05AC51,dithranol combinations,7,1894
D05AD,psoralens for topical use,5,1897
D05AD01,trioxysalen,7,1896
D05AD02,methoxsalen,7,1897
D05AX,other antipsoriatics for topical use,5,1904
D05AX01,fumaric acid,7,1899
D05AX02,calcipotriol,7,1900
D05AX03,calcitriol,7,1901
D05AX04,tacalcitol,7,1902
D05AX05,tazarotene,7,1903
D05AX52,calcipotriol combinations,7,1904
D05B,antipsoriatics for systemic use,4,1914
D05BA,psoralens for systemic use,5,1909
D05BA01,trioxysalen,7,1907
D05BA02,methoxsalen,7,1908
D05BA03,bergapten,7,1909
D05BB,retinoids for treatment of psoriasis,5,1912
D05BB01,etretinate,7,1911
D05BB02,acitretin,7,1912
D05BX,other antipsoriatics for systemic use,5,1914
D05BX51,fumaric acid derivatives combinations,7,1914
D06,antibiotics and chemotherapeutics for dermatological use,3,1960
D06A,antibiotics for topical use,4,1933
D06AA,tetracycline and derivatives,5,1921
D06AA01,demeclocycline,7,1918
D06AA02,chlortetracycline,7,1919
D06AA03,oxytetracycline,7,1920
D06AA04,tetracycline,7,1921
D06AX,other antibiotics for topical use,5,1933
D06AX01,fusidic acid,7,1923
D06AX02,chloramphenicol,7,1924
D06AX04,neomycin,7,1925
D06AX05,bacitracin,7,1926
D06AX07,gentamicin,7,1927
D06AX08,tyrothricin,7,1928
D06AX09,mupirocin,7,1929
D06AX10,virginiamycin,7,1930
D06AX11,rifaximin,7,1931
D06AX12,amikacin,7,1932
D06AX13,retapamulin,7,1933
D06B,chemotherapeutics for topical use,4,1959
D06BA,sulfonamides,5,1942
D06BA01,silver sulfadiazine,7,1936
D06BA02,sulfathiazole,7,1937
D06BA03,mafenide,7,1938
D06BA04,sulfamethizole,7,1939
D06BA05,sulfanilamide,7,1940
D06BA06,sulfamerazine,7,1941
D06BA51,silver sulfadiazine combinations,7,1942
D06BB,antivirals,5,1956
D06BB01,idoxuridine,7,1944
D06BB02,tromantadine,7,1945
D06BB03,aciclovir,7,1946
D06BB04,podophyllotoxin,7,1947
D06BB05,inosine,7,1948
D06BB06,penciclovir,7,1949
D06BB07,lysozyme,7,1950
D06BB08,ibacitabine,7,1951
D06BB09,edoxudine,7,1952
D06BB10,imiquimod,7,1953
D06BB11,docosanol,7,1954
D06BB12,sinecatechins,7,1955
D06BB53,aciclovir combinations,7,1956
D06BX,other chemotherapeutics,5,1959
D06BX01,metronidazole,7,1958
D06BX02,ingenol mebutate,7,1959
D06C,antibiotics and chemotherapeutics combinations,4,1960
D07,corticosteroids dermatological preparations,3,2057
D07A,corticosteroids plain,4,2005
D07AA,corticosteroids weak group i,5,1966
D07AA01,methylprednisolone,7,1964
D07AA02,hydrocortisone,7,1965
D07AA03,prednisolone,7,1966
D07AB,corticosteroids moderately potent group ii,5,1981
D07AB01,clobetasone,7,1968
D07AB02,hydrocortisone butyrate,7,1969
D07AB03,flumetasone,7,1970
D07AB04,fluocortin,7,1971
D07AB05,fluperolone,7,1972
D07AB06,fluorometholone,7,1973
D07AB07,fluprednidene,7,1974
D07AB08,desonide,7,1975
D07AB09,triamcinolone,7,1976
D07AB10,alclometasone,7,1977
D07AB11,hydrocortisone buteprate,7,1978
D07AB19,dexamethasone,7,1979
D07AB21,clocortolone,7,1980
D07AB30,combinations of corticosteroids,7,1981
D07AC,corticosteroids potent group iii,5,2002
D07AC01,betamethasone,7,1983
D07AC02,fluclorolone,7,1984
D07AC03,desoximetasone,7,1985
D07AC04,fluocinolone acetonide,7,1986
D07AC05,fluocortolone,7,1987
D07AC06,diflucortolone,7,1988
D07AC07,fludroxycortide,7,1989
D07AC08,fluocinonide,7,1990
D07AC09,budesonide,7,1991
D07AC10,diflorasone,7,1992
D07AC11,amcinonide,7,1993
D07AC12,halometasone,7,1994
D07AC13,mometasone,7,1995
D07AC14,methylprednisolone aceponate,7,1996
D07AC15,beclometasone,7,1997
D07AC16,hydrocortisone aceponate,7,1998
D07AC17,fluticasone,7,1999
D07AC18,prednicarbate,7,2000
D07AC19,difluprednate,7,2001
D07AC21,ulobetasol,7,2002
D07AD,corticosteroids very potent group iv,5,2005
D07AD01,clobetasol,7,2004
D07AD02,halcinonide,7,2005
D07B,corticosteroids combinations with antiseptics,4,2020
D07BA,corticosteroids weak combinations with antiseptics,5,2009
D07BA01,prednisolone and antiseptics,7,2008
D07BA04,hydrocortisone and antiseptics,7,2009
D07BB,corticosteroids moderately potent combinations with antiseptics,5,2014
D07BB01,flumetasone and antiseptics,7,2011
D07BB02,desonide and antiseptics,7,2012
D07BB03,triamcinolone and antiseptics,7,2013
D07BB04,hydrocortisone butyrate and antiseptics,7,2014
D07BC,corticosteroids potent combinations with antiseptics,5,2019
D07BC01,betamethasone and antiseptics,7,2016
D07BC02,fluocinolone acetonide and antiseptics,7,2017
D07BC03,fluocortolone and antiseptics,7,2018
D07BC04,diflucortolone and antiseptics,7,2019
D07BD,corticosteroids very potent combinations with antiseptics,5,2020
D07C,corticosteroids combinations with antibiotics,4,2040
D07CA,corticosteroids weak combinations with antibiotics,5,2025
D07CA01,hydrocortisone and antibiotics,7,2023
D07CA02,methylprednisolone and antibiotics,7,2024
D07CA03,prednisolone and antibiotics,7,2025
D07CB,corticosteroids moderately potent combinations with antibiotics,5,2031
D07CB01,triamcinolone and antibiotics,7,2027
D07CB02,fluprednidene and antibiotics,7,2028
D07CB03,fluorometholone and antibiotics,7,2029
D07CB04,dexamethasone and antibiotics,7,2030
D07CB05,flumetasone and antibiotics,7,2031
D07CC,corticosteroids potent combinations with antibiotics,5,2038
D07CC01,betamethasone and antibiotics,7,2033
D07CC02,fluocinolone acetonide and antibiotics,7,2034
D07CC03,fludroxycortide and antibiotics,7,2035
D07CC04,beclometasone and antibiotics,7,2036
D07CC05,fluocinonide and antibiotics,7,2037
D07CC06,fluocortolone and antibiotics,7,2038
D07CD,corticosteroids very potent combinations with antibiotics,5,2040
D07CD01,clobetasol and antibiotics,7,2040
D07X,corticosteroids other combinations,4,2057
D07XA,corticosteroids weak other combinations,5,2044
D07XA01,hydrocortisone,7,2043
D07XA02,prednisolone,7,2044
D07XB,corticosteroids moderately potent other combinations,5,2051
D07XB01,flumetasone,7,2046
D07XB02,triamcinolone,7,2047
D07XB03,fluprednidene,7,2048
D07XB04,fluorometholone,7,2049
D07XB05,dexamethasone,7,2050
D07XB30,combinations of corticosteroids,7,2051
D07XC,corticosteroids potent other combinations,5,2056
D07XC01,betamethasone,7,2053
D07XC02,desoximetasone,7,2054
D07XC03,mometasone,7,2055
D07XC04,diflucortolone,7,2056
D07XD,corticosteroids very potent other combinations,5,2057
D08,antiseptics and disinfectants,3,2123
D08A,antiseptics and disinfectants,4,2123
D08AA,acridine derivatives,5,2063
D08AA01,ethacridine lactate,7,2061
D08AA02,aminoacridine,7,2062
D08AA03,euflavine,7,2063
D08AB,aluminium agents,5,2064
D08AC,biguanides and amidines,5,2071
D08AC01,dibrompropamidine,7,2066
D08AC02,chlorhexidine,7,2067
D08AC03,propamidine,7,2068
D08AC04,hexamidine,7,2069
D08AC05,polihexanide,7,2070
D08AC52,chlorhexidine combinations,7,2071
D08AD,boric acid products,5,2072
D08AE,phenol and derivatives,5,2079
D08AE01,hexachlorophene,7,2074
D08AE02,policresulen,7,2075
D08AE03,phenol,7,2076
D08AE04,triclosan,7,2077
D08AE05,chloroxylenol,7,2078
D08AE06,biphenylol,7,2079
D08AF,nitrofuran derivatives,5,2081
D08AF01,nitrofural,7,2081
D08AG,iodine products,5,2086
D08AG01,iodineoctylphenoxypolyglycolether,7,2083
D08AG02,povidoneiodine,7,2084
D08AG03,iodine,7,2085
D08AG04,diiodohydroxypropane,7,2086
D08AH,quinoline derivatives,5,2091
D08AH01,dequalinium,7,2088
D08AH02,chlorquinaldol,7,2089
D08AH03,oxyquinoline,7,2090
D08AH30,clioquinol,7,2091
D08AJ,quaternary ammonium compounds,5,2102
D08AJ01,benzalkonium,7,2093
D08AJ02,cetrimonium,7,2094
D08AJ03,cetylpyridinium,7,2095
D08AJ04,cetrimide,7,2096
D08AJ05,benzoxonium chloride,7,2097
D08AJ06,didecyldimethylammonium chloride,7,2098
D08AJ08,benzethonium chloride,7,2099
D08AJ57,octenidine combinations,7,2100
D08AJ58,benzethonium chloride combinations,7,2101
D08AJ59,dodeclonium bromide combinations,7,2102
D08AK,mercurial products,5,2110
D08AK01,mercuric amidochloride,7,2104
D08AK02,phenylmercuric borate,7,2105
D08AK03,mercuric chloride,7,2106
D08AK04,mercurochrome,7,2107
D08AK05,mercury metallic,7,2108
D08AK06,thiomersal,7,2109
D08AK30,mercuric iodide,7,2110
D08AL,silver compounds,5,2113
D08AL01,silver nitrate,7,2112
D08AL30,silver,7,2113
D08AX,other antiseptics and disinfectants,5,2123
D08AX01,hydrogen peroxide,7,2115
D08AX02,eosin,7,2116
D08AX03,propanol,7,2117
D08AX04,tosylchloramide sodium,7,2118
D08AX05,isopropanol,7,2119
D08AX06,potassium permanganate,7,2120
D08AX07,sodium hypochlorite,7,2121
D08AX08,ethanol,7,2122
D08AX53,propanol combinations,7,2123
D09,medicated dressings,3,2143
D09A,medicated dressings,4,2143
D09AA,medicated dressings with antiinfectives,5,2139
D09AA01,framycetin,7,2127
D09AA02,fusidic acid,7,2128
D09AA03,nitrofural,7,2129
D09AA04,phenylmercuric nitrate,7,2130
D09AA05,benzododecinium,7,2131
D09AA06,triclosan,7,2132
D09AA07,cetylpyridinium,7,2133
D09AA08,aluminium chlorohydrate,7,2134
D09AA09,povidoneiodine,7,2135
D09AA10,clioquinol,7,2136
D09AA11,benzalkonium,7,2137
D09AA12,chlorhexidine,7,2138
D09AA13,iodoform,7,2139
D09AB,zinc bandages,5,2142
D09AB01,zinc bandage without supplements,7,2141
D09AB02,zinc bandage with supplements,7,2142
D09AX,soft paraffin dressings,5,2143
D10,antiacne preparations,3,2185
D10A,antiacne preparations for topical use,4,2180
D10AA,corticosteroids combinations for treatment of acne,5,2149
D10AA01,fluorometholone,7,2147
D10AA02,methylprednisolone,7,2148
D10AA03,dexamethasone,7,2149
D10AB,preparations containing sulfur,5,2154
D10AB01,bithionol,7,2151
D10AB02,sulfur,7,2152
D10AB03,tioxolone,7,2153
D10AB05,mesulfen,7,2154
D10AD,retinoids for topical use in acne,5,2163
D10AD01,tretinoin,7,2156
D10AD02,retinol,7,2157
D10AD03,adapalene,7,2158
D10AD04,isotretinoin,7,2159
D10AD05,motretinide,7,2160
D10AD51,tretinoin combinations,7,2161
D10AD53,adapalene combinations,7,2162
D10AD54,isotretinoin combinations,7,2163
D10AE,peroxides,5,2166
D10AE01,benzoyl peroxide,7,2165
D10AE51,benzoyl peroxide combinations,7,2166
D10AF,antiinfectives for treatment of acne,5,2173
D10AF01,clindamycin,7,2168
D10AF02,erythromycin,7,2169
